N, signal, date, time, seconds, minutes, total seconds, total minutes
1, red, 2018-01-09, 20:42:17, 0, 0.0, 0, 0.0
2, amber, 2018-01-09, 20:51:43, 566, 9.0, 566, 9.0
3, amber, 2018-01-09, 20:52:04, 21, 0.0, 587, 9.0
4, amber, 2018-01-09, 20:52:25, 21, 0.0, 608, 10.0
5, amber, 2018-01-09, 20:53:10, 45, 0.0, 653, 10.0
6, amber, 2018-01-09, 20:53:58, 48, 0.0, 701, 11.0
7, amber, 2018-01-09, 20:54:21, 23, 0.0, 724, 12.0
8, amber, 2018-01-09, 20:55:15, 54, 0.0, 778, 12.0
9, amber, 2018-01-09, 20:59:19, 244, 4.0, 1022, 17.0
10, amber, 2018-01-09, 21:01:57, 158, 2.0, 1180, 19.0
11, amber, 2018-01-09, 21:03:01, 64, 1.0, 1244, 20.0
12, red, 2018-01-09, 21:04:49, 108, 1.0, 1352, 22.0
13, green, 2018-01-09, 21:05:37, 48, 0.0, 1400, 23.0
14, amber, 2018-01-09, 21:06:14, 37, 0.0, 1437, 23.0
15, amber, 2018-01-09, 21:07:19, 65, 1.0, 1502, 25.0
16, amber, 2018-01-09, 21:07:39, 20, 0.0, 1522, 25.0
17, amber, 2018-01-09, 21:09:05, 86, 1.0, 1608, 26.0
18, amber, 2018-01-09, 21:11:28, 143, 2.0, 1751, 29.0
19, amber, 2018-01-09, 21:20:45, 557, 9.0, 2308, 38.0
20, amber, 2018-01-09, 21:22:37, 112, 1.0, 2420, 40.0
21, amber, 2018-01-09, 21:22:48, 11, 0.0, 2431, 40.0
22, amber, 2018-01-09, 21:24:06, 78, 1.0, 2509, 41.0
23, amber, 2018-01-09, 21:24:34, 28, 0.0, 2537, 42.0
24, green, 2018-01-09, 21:24:55, 21, 0.0, 2558, 42.0
25, green, 2018-01-09, 21:28:42, 227, 3.0, 2785, 46.0
26, green, 2018-01-09, 21:30:50, 128, 2.0, 2913, 48.0
27, red, 2018-01-09, 21:35:42, 292, 4.0, 3205, 53.0
28, green, 2018-01-09, 21:37:20, 98, 1.0, 3303, 55.0
29, amber, 2018-01-09, 21:59:24, 1324, 22.0, 4627, 77.0
30, amber, 2018-01-09, 21:59:56, 32, 0.0, 4659, 77.0
31, red, 2018-01-09, 22:00:37, 41, 0.0, 4700, 78.0
32, green, 2018-01-09, 22:02:28, 111, 1.0, 4811, 80.0
33, red, 2018-01-09, 22:06:20, 232, 3.0, 5043, 84.0
34, green, 2018-01-09, 22:10:18, 238, 3.0, 5281, 88.0
35, red, 2018-01-09, 22:14:56, 278, 4.0, 5559, 92.0
36, red, 2018-01-09, 22:17:12, 136, 2.0, 5695, 94.0
37, red, 2018-01-09, 22:18:19, 67, 1.0, 5762, 96.0
38, red, 2018-01-09, 22:24:36, 377, 6.0, 6139, 102.0
39, red, 2018-01-09, 22:25:50, 74, 1.0, 6213, 103.0
40, red, 2018-01-09, 22:40:25, 875, 14.0, 7088, 118.0
41, red, 2018-01-09, 22:42:19, 114, 1.0, 7202, 120.0
42, red, 2018-01-09, 22:43:23, 64, 1.0, 7266, 121.0
43, amber, 2018-01-09, 22:58:43, 920, 15.0, 8186, 136.0
44, red, 2018-01-09, 23:00:09, 86, 1.0, 8272, 137.0
45, red, 2018-01-09, 23:00:54, 45, 0.0, 8317, 138.0
46, red, 2018-01-09, 23:04:07, 193, 3.0, 8510, 141.0
47, green, 2018-01-09, 23:04:35, 28, 0.0, 8538, 142.0
48, amber, 2018-01-09, 23:12:49, 494, 8.0, 9032, 150.0
49, red, 2018-01-09, 23:13:45, 56, 0.0, 9088, 151.0
50, red, 2018-01-09, 23:21:42, 477, 7.0, 9565, 159.0
51, red, 2018-01-09, 23:22:42, 60, 1.0, 9625, 160.0
52, red, 2018-01-09, 23:26:42, 240, 4.0, 9865, 164.0
53, red, 2018-01-09, 23:31:28, 286, 4.0, 10151, 169.0
54, red, 2018-01-09, 23:34:23, 175, 2.0, 10326, 172.0
55, green, 2018-01-09, 23:36:21, 118, 1.0, 10444, 174.0
56, green, 2018-01-09, 23:37:12, 51, 0.0, 10495, 174.0
57, green, 2018-01-09, 23:38:22, 70, 1.0, 10565, 176.0
58, green, 2018-01-09, 23:41:23, 181, 3.0, 10746, 179.0
59, green, 2018-01-09, 23:52:26, 663, 11.0, 11409, 190.0
60, green, 2018-01-09, 23:53:21, 55, 0.0, 11464, 191.0
61, green, 2018-01-09, 23:57:00, 219, 3.0, 11683, 194.0
62, red, 2018-01-10, 00:04:00, -85980, -1433.0, -74297, -1239.0
63, amber, 2018-01-10, 00:08:41, 281, 4.0, -74016, -1234.0
64, red, 2018-01-10, 00:13:06, 265, 4.0, -73751, -1230.0
65, amber, 2018-01-10, 00:16:47, 221, 3.0, -73530, -1226.0
66, amber, 2018-01-10, 00:23:04, 377, 6.0, -73153, -1220.0
67, amber, 2018-01-10, 00:23:56, 52, 0.0, -73101, -1219.0
68, amber, 2018-01-10, 00:24:23, 27, 0.0, -73074, -1218.0
69, green, 2018-01-10, 00:24:52, 29, 0.0, -73045, -1218.0
70, green, 2018-01-10, 00:26:52, 120, 2.0, -72925, -1216.0
71, green, 2018-01-10, 00:28:04, 72, 1.0, -72853, -1215.0
72, amber, 2018-01-10, 00:28:28, 24, 0.0, -72829, -1214.0
73, green, 2018-01-10, 00:28:51, 23, 0.0, -72806, -1214.0
74, green, 2018-01-10, 00:30:36, 105, 1.0, -72701, -1212.0
75, red, 2018-01-10, 00:32:54, 138, 2.0, -72563, -1210.0
76, green, 2018-01-10, 00:33:48, 54, 0.0, -72509, -1209.0
77, green, 2018-01-10, 00:34:33, 45, 0.0, -72464, -1208.0
78, amber, 2018-01-10, 00:44:26, 593, 9.0, -71871, -1198.0
79, amber, 2018-01-10, 00:46:06, 100, 1.0, -71771, -1197.0
80, amber, 2018-01-10, 00:47:17, 71, 1.0, -71700, -1195.0
81, amber, 2018-01-10, 00:47:37, 20, 0.0, -71680, -1195.0
82, amber, 2018-01-10, 00:48:26, 49, 0.0, -71631, -1194.0
83, amber, 2018-01-10, 00:50:31, 125, 2.0, -71506, -1192.0
84, green, 2018-01-10, 00:52:17, 106, 1.0, -71400, -1190.0
85, amber, 2018-01-10, 00:53:02, 45, 0.0, -71355, -1190.0
86, green, 2018-01-10, 00:53:37, 35, 0.0, -71320, -1189.0
87, green, 2018-01-10, 00:54:07, 30, 0.0, -71290, -1189.0
88, green, 2018-01-10, 00:54:48, 41, 0.0, -71249, -1188.0
89, green, 2018-01-10, 01:00:57, 369, 6.0, -70880, -1182.0
90, green, 2018-01-10, 01:03:28, 151, 2.0, -70729, -1179.0
91, green, 2018-01-10, 01:19:21, 953, 15.0, -69776, -1163.0
92, green, 2018-01-10, 08:47:09, 26868, 447.0, -42908, -716.0
93, green, 2018-01-10, 09:24:05, 2216, 36.0, -40692, -679.0
94, amber, 2018-02-03, 19:53:37, 37772, 629.0, -2920, -49.0
95, amber, 2018-02-03, 20:03:54, 617, 10.0, -2303, -39.0
96, green, 2018-02-03, 20:04:27, 33, 0.0, -2270, -38.0
97, amber, 2018-02-03, 20:08:24, 237, 3.0, -2033, -34.0
98, green, 2018-02-03, 20:09:13, 49, 0.0, -1984, -34.0
99, amber, 2018-02-03, 20:11:54, 161, 2.0, -1823, -31.0
100, amber, 2018-02-05, 14:59:48, -18726, -313.0, -20549, -343.0
101, amber, 2018-02-05, 15:02:48, 180, 3.0, -20369, -340.0
102, amber, 2018-02-05, 15:03:03, 15, 0.0, -20354, -340.0
103, green, 2018-02-05, 15:03:19, 16, 0.0, -20338, -339.0
104, green, 2018-02-05, 15:05:10, 111, 1.0, -20227, -338.0
105, green, 2018-02-05, 15:05:56, 46, 0.0, -20181, -337.0
106, red, 2018-02-05, 15:08:23, 147, 2.0, -20034, -334.0
107, green, 2018-02-05, 15:08:45, 22, 0.0, -20012, -334.0
